fips_code,county,state,customers_out,run_start_time
48113,Dallas,Texas,132,2021-02-10 02:15:00
48121,Denton,Texas,71,2021-02-10 02:15:00
48135,Ector,Texas,1,2021-02-10 02:15:00
48139,Ellis,Texas,8,2021-02-10 02:15:00
48147,Fannin,Texas,21,2021-02-10 02:15:00
48157,Fort Bend,Texas,2,2021-02-10 02:15:00
48163,Frio,Texas,1,2021-02-10 02:15:00
48167,Galveston,Texas,4,2021-02-10 02:15:00
48181,Grayson,Texas,1,2021-02-10 02:15:00
48187,Guadalupe,Texas,5,2021-02-10 02:15:00
48201,Harris,Texas,1312,2021-02-10 02:15:00
48215,Hidalgo,Texas,23,2021-02-10 02:15:00
48233,Hutchinson,Texas,1,2021-02-10 02:15:00
48235,Irion,Texas,41,2021-02-10 02:15:00
48245,Jefferson,Texas,2,2021-02-10 02:15:00
48249,Jim Wells,Texas,4,2021-02-10 02:15:00
48303,Lubbock,Texas,3,2021-02-10 02:15:00
48329,Midland,Texas,1,2021-02-10 02:15:00
48337,Montague,Texas,1,2021-02-10 02:15:00
48341,Moore,Texas,1,2021-02-10 02:15:00
48355,Nueces,Texas,11,2021-02-10 02:15:00
48389,Reeves,Texas,4,2021-02-10 02:15:00
48391,Refugio,Texas,6,2021-02-10 02:15:00
48397,Rockwall,Texas,2,2021-02-10 02:15:00
48409,San Patricio,Texas,4,2021-02-10 02:15:00
48423,Smith,Texas,1,2021-02-10 02:15:00
48439,Tarrant,Texas,1862,2021-02-10 02:15:00
48451,Tom Green,Texas,4,2021-02-10 02:15:00
48453,Travis,Texas,91,2021-02-10 02:15:00
48465,Val Verde,Texas,6,2021-02-10 02:15:00
48471,Walker,Texas,1,2021-02-10 02:15:00
48475,Ward,Texas,1,2021-02-10 02:15:00
48485,Wichita,Texas,9,2021-02-10 02:15:00
48491,Williamson,Texas,129,2021-02-10 02:15:00
48497,Wise,Texas,24,2021-02-10 02:15:00
48001,Anderson,Texas,1,2021-02-10 02:30:00
48007,Aransas,Texas,4,2021-02-10 02:30:00
48027,Bell,Texas,6,2021-02-10 02:30:00
48029,Bexar,Texas,8,2021-02-10 02:30:00
48037,Bowie,Texas,4,2021-02-10 02:30:00
48041,Brazos,Texas,1,2021-02-10 02:30:00
48061,Cameron,Texas,4,2021-02-10 02:30:00
48085,Collin,Texas,1,2021-02-10 02:30:00
48089,Colorado,Texas,5,2021-02-10 02:30:00
48095,Concho,Texas,4,2021-02-10 02:30:00
48097,Cooke,Texas,1,2021-02-10 02:30:00
48113,Dallas,Texas,132,2021-02-10 02:30:00
48121,Denton,Texas,71,2021-02-10 02:30:00
48135,Ector,Texas,2,2021-02-10 02:30:00
48139,Ellis,Texas,8,2021-02-10 02:30:00
48147,Fannin,Texas,21,2021-02-10 02:30:00
48157,Fort Bend,Texas,3,2021-02-10 02:30:00
48163,Frio,Texas,1,2021-02-10 02:30:00
48167,Galveston,Texas,3,2021-02-10 02:30:00
48181,Grayson,Texas,1,2021-02-10 02:30:00
48187,Guadalupe,Texas,5,2021-02-10 02:30:00
48201,Harris,Texas,1297,2021-02-10 02:30:00
48215,Hidalgo,Texas,23,2021-02-10 02:30:00
48235,Irion,Texas,41,2021-02-10 02:30:00
48245,Jefferson,Texas,2,2021-02-10 02:30:00
48249,Jim Wells,Texas,4,2021-02-10 02:30:00
48303,Lubbock,Texas,3,2021-02-10 02:30:00
48329,Midland,Texas,1,2021-02-10 02:30:00
48337,Montague,Texas,1,2021-02-10 02:30:00
48339,Montgomery,Texas,1,2021-02-10 02:30:00
48355,Nueces,Texas,11,2021-02-10 02:30:00
48389,Reeves,Texas,4,2021-02-10 02:30:00
48391,Refugio,Texas,6,2021-02-10 02:30:00
48397,Rockwall,Texas,2,2021-02-10 02:30:00
48409,San Patricio,Texas,4,2021-02-10 02:30:00
48439,Tarrant,Texas,1862,2021-02-10 02:30:00
